Date,Total_Type0_Amount,Total_Type1_Amount,Total_Amount,Total_TP_Amount
1/1/2022,19000.56,5478.70,24479.26,24479.28
1/2/2022,19340.05,5754.87,25094.92,25094.91
1/3/2022,19680.86,6663.60,26344.46,26302.09
1/4/2022,24265.39,7987.80,32253.19,32218.40
1/5/2022,24170.25,7293.63,31463.88,31369.71
1/6/2022,24839.11,8125.07,32964.18,32964.19
1/7/2022,24112.66,7837.85,31950.51,31920.23
1/8/2022,23448.64,7893.17,31341.81,31341.84
1/9/2022,24036.04,7556.35,31592.39,31568.62
1/10/2022,23226.59,7703.29,30929.88,30902.90
1/11/2022,23425.96,7941.47,31367.43,31367.45
1/12/2022,23802.60,7223.58,31026.18,31026.18
1/13/2022,23193.44,6897.01,30090.45,30058.86
1/14/2022,24044.41,6598.51,30642.92,30642.92
1/15/2022,24210.42,7706.21,31916.63,31916.63
1/16/2022,23281.56,7388.14,30669.70,30669.69
1/17/2022,24206.31,7775.14,31981.45,31981.44
1/18/2022,23125.45,7014.72,30140.17,30140.17
1/19/2022,23923.11,7335.34,31258.45,31224.95
1/20/2022,24276.00,7441.86,31717.86,31717.87
1/21/2022,25073.52,7073.12,32146.64,32139.92
1/22/2022,23658.36,7604.77,31263.13,31263.12
1/23/2022,25255.33,7015.35,32270.68,32209.63
1/24/2022,25100.28,7670.55,32770.83,32731.78
1/25/2022,24195.41,7583.35,31778.76,31740.68
1/26/2022,25459.97,7804.42,33264.39,33225.92
1/27/2022,24238.96,7377.54,31616.50,31564.12
1/28/2022,23861.47,8178.75,32040.22,32040.20
1/29/2022,23659.95,7394.92,31054.87,31031.93
1/30/2022,24605.65,7280.28,31885.93,31885.93
1/31/2022,23623.02,7549.00,31172.02,31172.01
2/1/2022,24956.40,7248.71,32205.11,32198.29
2/2/2022,22807.25,7686.58,30493.83,30468.85
2/3/2022,24590.49,7463.76,32054.25,32054.25
2/4/2022,25250.70,8052.74,33303.44,33303.44
2/5/2022,25076.75,7323.32,32400.07,32373.52
2/6/2022,23881.80,8439.56,32321.36,32274.98
2/7/2022,23734.60,7777.92,31512.52,31501.25
2/8/2022,24157.32,7650.59,31807.91,31807.90
2/9/2022,23990.69,7933.04,31923.73,31923.74
2/10/2022,24125.37,7909.59,32034.96,32008.00
2/11/2022,23589.53,8301.98,31891.51,31891.50
2/12/2022,24264.73,7122.91,31387.64,31345.36
2/13/2022,24760.78,7696.13,32456.91,32448.89
2/14/2022,22687.13,7090.13,29777.26,29753.80
2/15/2022,23857.03,8540.07,32397.10,32397.11
2/16/2022,25682.06,7710.56,33392.62,33392.60
2/17/2022,24542.21,8179.82,32722.03,32722.03
2/18/2022,23876.98,7744.59,31621.57,31600.60
2/19/2022,23275.54,8316.28,31591.82,31580.33
2/20/2022,24735.88,7663.02,32398.90,32398.89
2/21/2022,23293.61,7472.53,30766.14,30751.67
2/22/2022,24914.66,7936.87,32851.53,32825.61
2/23/2022,23163.59,9366.02,32529.61,32479.08
2/24/2022,24639.98,8272.19,32912.17,32903.82
2/25/2022,23635.95,7170.25,30806.20,30787.27
2/26/2022,24831.92,7520.02,32351.94,32294.62
2/27/2022,23452.90,7833.93,31286.83,31286.85
2/28/2022,23605.09,7941.77,31546.86,31546.85
3/1/2022,24749.22,7671.51,32420.73,32395.75
3/2/2022,24474.72,7202.80,31677.52,31663.52
3/3/2022,24283.72,7395.05,31678.77,31678.79
3/4/2022,24710.92,7331.64,32042.56,32042.56
3/5/2022,25736.63,8083.84,33820.47,33780.79
3/6/2022,24084.70,7674.30,31759.00,31759.00
3/7/2022,24089.57,7761.11,31850.68,31850.66
3/8/2022,24948.16,7788.96,32737.12,32737.11
3/9/2022,24476.27,7718.99,32195.26,32168.98
3/10/2022,25096.87,7797.36,32894.23,32864.97
3/11/2022,24266.72,8001.18,32267.90,32252.07
3/12/2022,23440.18,7739.55,31179.73,31179.71
3/13/2022,23287.68,7548.67,30836.35,30816.46
3/14/2022,23763.44,8007.46,31770.90,31735.28
3/15/2022,23318.32,8222.09,31540.41,31529.06
3/16/2022,24660.04,6586.46,31246.50,31246.50
3/17/2022,25139.21,7411.88,32551.09,32551.09
3/18/2022,24232.28,7733.54,31965.82,31965.83
3/19/2022,24516.84,7494.06,32010.90,31975.03
3/20/2022,23390.12,7260.67,30650.79,30626.61
3/21/2022,24331.41,7634.73,31966.14,31943.31
3/22/2022,24840.05,7936.63,32776.68,32776.08
3/23/2022,23556.77,7833.11,31389.88,31389.90
3/24/2022,24075.84,8665.32,32741.16,32720.55
3/25/2022,24554.92,8583.02,33137.94,33128.86
3/26/2022,24579.69,7483.85,32063.54,32036.08
3/27/2022,23854.86,7087.64,30942.50,30932.58
3/28/2022,24875.61,7835.30,32710.91,32676.75
3/29/2022,23468.89,7338.88,30807.77,30807.77
3/30/2022,25131.87,7902.82,33034.69,32998.05
3/31/2022,23672.21,8171.50,31843.71,31843.71
4/1/2022,23852.70,8236.84,32089.54,32063.08
4/2/2022,23776.04,7617.13,31393.17,31393.16
4/3/2022,25761.75,7690.67,33452.42,33452.43
4/4/2022,24674.36,8015.68,32690.04,32657.20
4/5/2022,24385.11,7691.65,32076.76,32076.77
