Timestamp,Transaction_ID,Amount
1/1/22 11:14,2063,10.32
1/2/22 1:31,4558,21.69
1/2/22 8:03,5787,40.64
1/2/22 13:34,6418,30.46
1/2/22 20:21,7958,17.84
1/2/22 22:30,8350,37.45
1/3/22 1:56,3825,23.91
1/3/22 2:13,8879,28.72
1/3/22 4:56,9506,24.21
1/3/22 14:24,11184,26.92
1/3/22 18:10,11116,38.74
1/3/22 21:54,12524,22.37
1/4/22 4:28,13764,12.17
1/4/22 9:01,14599,31.54
1/4/22 11:20,2073,17.51
1/4/22 16:23,15924,25.45
1/4/22 17:58,8896,0.01
1/4/22 21:22,16844,10.63
1/4/22 21:55,16927,0.01
1/4/22 23:02,17136,19.49
1/5/22 1:02,17483,23.42
1/5/22 6:17,5480,26.79
1/5/22 10:01,6137,23.31
1/5/22 11:19,19342,12.03
1/5/22 12:42,19577,39.12
1/5/22 14:26,19922,3.16
1/6/22 7:17,22955,15.07
1/6/22 7:51,23052,13.47
1/6/22 9:27,23315,14.39
1/6/22 11:19,23684,25.72
1/6/22 16:24,11540,20.63
1/6/22 16:59,24681,13.68
1/6/22 20:58,25420,0.99
1/6/22 22:41,25735,36.24
1/7/22 6:37,27114,14.19
1/8/22 5:27,31231,26.23
1/8/22 6:06,31268,11.07
1/8/22 10:44,19209,1.23
1/8/22 12:53,32584,0.01
1/8/22 14:54,32706,8.64
1/8/22 19:45,33787,53.59
1/8/22 22:16,34230,17.86
1/9/22 2:49,34999,7.36
1/9/22 13:42,24123,22.49
1/9/22 14:04,36069,13.82
1/9/22 14:22,37053,14.39
1/9/22 18:40,37838,36.11
1/9/22 21:54,38434,21.48
1/10/22 6:52,40066,17.33
1/10/22 8:15,36030,36.50
1/10/22 8:19,27409,14.47
1/10/22 23:26,43056,12.43
1/11/22 5:34,44159,3.19
1/11/22 11:06,45165,33.92
1/11/22 20:24,46798,19.09
1/11/22 23:39,46964,17.10
1/12/22 6:39,48630,18.81
1/12/22 8:38,49006,8.22
1/12/22 11:38,49572,10.84
1/12/22 14:06,49977,11.02
1/12/22 15:08,50162,33.90
1/12/22 22:03,51374,10.60
1/13/22 3:25,39445,33.54
1/13/22 3:51,52459,26.61
1/13/22 9:53,53529,18.68
1/13/22 22:37,55834,20.69
1/14/22 7:02,57333,0.01
1/14/22 7:31,52956,16.75
1/14/22 7:35,57430,15.39
