Completed_At,Transaction_ID,Amount,User_ID,User_Type,Status
1/1/22 0:00,0,23.91,741,1,FAILURE
1/1/22 2:35,455,3.30,506,0,FAILURE
1/1/22 2:55,515,25.90,194,0,FAILURE
1/1/22 3:12,571,31.46,42,0,FAILURE
1/1/22 3:30,616,36.09,183,0,FAILURE
1/1/22 4:53,878,14.62,156,0,FAILURE
1/1/22 5:09,919,18.32,383,1,FAILURE
1/1/22 5:57,1069,12.78,67,0,FAILURE
1/1/22 6:11,1115,25.98,129,0,FAILURE
1/1/22 6:46,1233,32.55,601,1,FAILURE
1/1/22 6:48,1146,24.37,955,0,FAILURE
1/1/22 7:26,1330,30.82,7,0,FAILURE
1/1/22 7:49,1426,15.57,854,0,FAILURE
1/1/22 8:39,1290,12.36,234,0,FAILURE
1/1/22 9:51,1809,19.52,883,1,FAILURE
1/1/22 10:33,1939,47.66,887,0,FAILURE
1/1/22 11:01,2023,23.45,470,0,FAILURE
1/1/22 11:12,2052,13.00,353,0,FAILURE
1/1/22 13:41,2468,23.49,462,1,FAILURE
1/1/22 14:17,2617,15.11,929,0,FAILURE
1/1/22 15:53,2922,2.99,780,0,FAILURE
1/1/22 16:23,2697,10.82,867,0,FAILURE
1/1/22 17:24,281,33.44,772,0,FAILURE
1/1/22 17:45,3243,30.70,598,0,FAILURE
1/1/22 18:08,3314,31.18,511,0,FAILURE
1/1/22 18:41,398,24.29,846,0,FAILURE
1/1/22 20:02,3669,2.25,820,1,FAILURE
1/1/22 20:41,3781,19.29,424,0,FAILURE
1/1/22 20:50,3772,24.63,120,1,FAILURE
1/1/22 22:18,4061,9.56,17,0,FAILURE
1/1/22 22:22,3271,41.29,535,0,FAILURE
1/2/22 0:51,4461,20.52,20,0,FAILURE
1/2/22 1:23,4363,19.99,420,1,FAILURE
1/2/22 3:22,4887,32.00,623,1,FAILURE
1/2/22 4:45,5202,8.85,897,1,FAILURE
1/2/22 6:39,5539,29.13,868,0,FAILURE
1/2/22 6:47,5564,19.99,730,0,FAILURE
1/2/22 7:32,4503,7.14,940,0,FAILURE
1/2/22 7:38,5717,35.95,906,0,FAILURE
1/2/22 11:38,5130,21.15,200,0,FAILURE
1/2/22 11:41,6443,26.58,616,1,FAILURE
1/2/22 11:50,6417,0.01,958,0,FAILURE
1/2/22 12:35,5604,21.67,717,0,FAILURE
1/2/22 13:04,6692,35.69,761,0,FAILURE
1/2/22 13:19,6741,10.23,355,0,FAILURE
1/2/22 13:22,6749,0.01,219,0,FAILURE
1/2/22 15:22,7081,33.60,61,0,FAILURE
1/2/22 15:57,7184,43.05,953,1,FAILURE
1/2/22 16:30,7011,27.21,116,0,FAILURE
1/2/22 20:19,7930,48.27,954,1,FAILURE
1/2/22 20:29,7979,19.22,582,0,FAILURE
1/2/22 23:43,8553,19.69,124,0,FAILURE
1/2/22 23:55,8588,8.77,413,1,FAILURE
1/3/22 0:03,8136,20.01,926,0,SUCCESS
1/3/22 3:27,9232,30.57,84,0,FAILURE
1/3/22 3:56,9321,26.21,839,0,FAILURE
1/3/22 4:53,9498,6.06,194,0,FAILURE
1/3/22 5:04,8780,26.88,373,0,FAILURE
1/3/22 6:28,9788,15.37,948,0,SUCCESS
1/3/22 6:31,9796,8.41,830,0,FAILURE
1/3/22 7:04,9892,20.07,122,1,FAILURE
1/3/22 7:34,9846,16.05,725,0,FAILURE
1/3/22 7:44,9886,6.27,231,1,FAILURE
1/3/22 7:45,10013,10.57,627,0,FAILURE
1/3/22 8:07,10050,17.03,392,1,FAILURE
1/3/22 8:25,10135,29.92,254,0,FAILURE
1/3/22 9:19,10277,15.06,311,0,FAILURE
1/3/22 9:20,10280,24.09,761,0,FAILURE
1/3/22 10:59,8162,33.09,624,0,FAILURE
1/3/22 11:39,9393,26.08,25,0,FAILURE
1/3/22 12:41,10555,16.33,762,0,FAILURE
1/3/22 13:29,11007,26.64,293,0,FAILURE
1/3/22 17:56,11835,6.99,297,0,SUCCESS
1/3/22 20:04,12207,25.37,55,1,FAILURE
1/3/22 20:29,12287,4.54,972,1,FAILURE
1/3/22 20:33,12288,14.39,694,0,FAILURE
1/3/22 21:47,12414,24.53,172,0,FAILURE
1/3/22 21:59,12571,29.91,408,0,FAILURE
1/4/22 0:41,13079,29.29,616,1,FAILURE
1/4/22 1:25,13205,19.00,364,0,FAILURE
1/4/22 2:21,13336,14.84,688,1,FAILURE
1/4/22 3:34,13471,14.64,802,0,FAILURE
1/4/22 3:48,13348,12.87,665,0,FAILURE
1/4/22 5:49,14013,18.17,848,0,FAILURE
1/4/22 6:24,13987,25.52,413,1,FAILURE
1/4/22 7:38,14346,20.87,630,0,FAILURE
1/4/22 7:53,14387,19.02,812,0,FAILURE
1/4/22 7:59,14403,0.01,709,0,FAILURE
1/4/22 8:14,14445,13.18,925,1,FAILURE
1/4/22 9:36,1760,15.00,932,0,FAILURE
1/4/22 9:49,14742,5.53,895,0,FAILURE
1/4/22 10:01,14775,26.60,320,0,FAILURE
1/4/22 10:26,14856,2.84,302,0,FAILURE
1/4/22 10:29,1925,21.23,197,1,FAILURE
1/4/22 10:51,14936,28.16,303,1,FAILURE
1/4/22 11:04,14976,1.15,736,1,FAILURE
1/4/22 11:16,15010,21.22,1,0,FAILURE
1/4/22 11:32,15059,13.58,823,0,FAILURE
1/4/22 12:16,15123,21.71,869,1,FAILURE
1/4/22 12:22,15214,15.81,165,1,FAILURE
1/4/22 13:23,15401,15.83,596,0,FAILURE
1/4/22 14:17,12525,8.06,648,1,FAILURE
1/4/22 14:58,15672,21.18,760,0,FAILURE
1/4/22 15:35,15773,33.93,247,0,FAILURE
1/4/22 15:39,15786,6.22,366,0,FAILURE
1/4/22 15:45,7055,22.68,755,0,FAILURE
1/4/22 15:46,15804,23.71,181,0,FAILURE
1/4/22 16:30,15941,6.60,649,0,SUCCESS
1/4/22 17:37,16154,22.59,981,0,FAILURE
1/4/22 17:52,16040,15.29,863,0,FAILURE
1/4/22 19:55,16584,15.04,883,1,FAILURE
1/4/22 19:55,16585,27.02,638,1,FAILURE
1/4/22 20:59,3835,28.20,674,0,SUCCESS
1/4/22 22:36,17053,3.79,102,0,FAILURE
1/5/22 1:05,4533,25.53,787,0,FAILURE
1/5/22 2:12,17677,19.90,681,1,FAILURE
1/5/22 3:39,17927,11.62,907,0,FAILURE
1/5/22 4:31,18076,29.87,924,0,FAILURE
1/5/22 4:55,18086,36.75,735,1,FAILURE
1/5/22 5:24,18238,3.88,198,0,FAILURE
1/5/22 5:48,18321,2.43,356,0,FAILURE
1/5/22 6:07,18380,14.59,752,0,FAILURE
1/5/22 7:42,5728,15.66,951,0,FAILURE
1/5/22 7:45,5740,4.83,813,0,FAILURE
1/5/22 8:21,5839,0.01,763,0,FAILURE
1/5/22 9:53,19062,22.70,684,0,SUCCESS
1/5/22 10:10,19121,19.31,940,0,FAILURE
1/5/22 10:26,19166,5.63,402,0,FAILURE
1/5/22 10:41,6275,34.36,868,0,FAILURE
1/5/22 11:01,6330,25.22,280,0,FAILURE
1/5/22 11:07,18128,9.80,544,0,FAILURE
1/5/22 12:31,19555,17.13,382,1,FAILURE
1/5/22 13:31,19421,9.72,163,0,FAILURE
1/5/22 13:55,19510,39.03,620,1,SUCCESS
1/5/22 14:17,19892,21.94,666,0,FAILURE
1/5/22 15:17,7070,19.51,604,1,FAILURE
1/5/22 16:01,7194,9.67,516,0,FAILURE
1/5/22 16:56,20385,32.16,75,1,FAILURE
1/5/22 17:14,20309,22.82,990,0,FAILURE
1/5/22 17:38,7469,17.48,490,0,FAILURE
1/5/22 18:12,20603,7.08,541,0,FAILURE
1/5/22 18:30,15979,32.43,333,0,SUCCESS
1/5/22 19:45,7860,30.36,909,1,FAILURE
1/5/22 19:48,20884,13.64,16,0,FAILURE
1/5/22 20:38,21037,19.64,418,0,FAILURE
1/6/22 0:22,21676,16.92,499,1,FAILURE
1/6/22 0:25,8666,22.45,34,0,FAILURE
1/6/22 1:15,21714,32.25,13,0,FAILURE
1/6/22 2:18,9015,18.02,228,0,FAILURE
1/6/22 2:50,22151,31.29,353,0,FAILURE
1/6/22 4:21,22427,35.13,510,1,FAILURE
1/6/22 5:23,22023,31.66,171,1,FAILURE
1/6/22 6:09,9732,22.44,260,0,FAILURE
1/6/22 7:06,22917,30.93,611,0,FAILURE
1/6/22 7:10,22929,19.19,418,0,FAILURE
1/6/22 7:28,20999,39.12,19,1,FAILURE
1/6/22 7:46,23037,23.29,63,0,FAILURE
1/6/22 8:18,23131,12.07,408,0,FAILURE
1/6/22 10:37,23550,0.01,676,0,FAILURE
1/6/22 11:21,23683,10.63,51,1,FAILURE
1/6/22 11:37,19077,26.06,441,0,FAILURE
1/6/22 12:57,23973,32.27,453,0,FAILURE
1/6/22 14:28,24256,1.07,921,0,FAILURE
1/6/22 14:42,24294,24.83,708,0,FAILURE
1/6/22 15:05,24363,2.87,758,0,FAILURE
1/6/22 15:25,24405,23.00,227,1,FAILURE
1/6/22 16:19,24563,30.56,819,1,FAILURE
